id,artist,name,popularity
2E6S3NgbSG9NYwbdi6rWYB,Teyana Taylor,Morning,72
3cBDXeBa5jR7nCks8KQQrN,Tank,I Don't Think You're Ready,55
79sX21LCECS5iBt0rRhU4W,BJ The Chicago Kid,Not Coming Back,6
4DbbQcjs1sfPFcUys9SbSy,Alicia Keys,Time Machine,40
2xyx0o4xNOLLjBSbOOdcbA,Summer Walker,Playing Games (with Bryson Tiller) - Extended Version,84
1MqVHgJ8JFyU03XOstZDA6,Fantasia,PTSD (feat. Tank & The Bonfyre),60
1vXFnAO7zu7n0ErcJmGLZF,Jhené Aiko,Triggered - Remix,74
0mx2SptsYoBU1fU1xdNWU8,Jacquees,Risk It All (feat. Tory Lanez),53
6S5dMjMifQYmyTu1mX4f8P,Bryson Tiller,Blame,76
2VqKx3HH8gaZPabNWYvksy,Snoh Aalegra,I Want You Around,72
6TqXcAFInzjp0bODyvrWEq,Khalid,Talk (feat. Disclosure),84
782CIMTujSmNFrRuAVhsqd,Miguel,Funeral,71
30QVousvHxslg00I7dNLU2,Missy Elliott,Why I Still Love You,62
2fpVvARsopfxhvNaUMwvS6,Tank,Somebody Else (feat. JoJo),62
6hecXwh6EZHcl6rZyJftKQ,Chris Brown,Overtime,70
5pAbCxt9e3f81lOmjIXwzd,Jorja Smith,Be Honest (feat. Burna Boy),85
1xJTW86sJ1OoloXeOret6t,DaVido,Blow My Mind,73
3uouaAVXpQR3X8RYkJyitQ,Daniel Caesar,CYANIDE,73
3f9eR0IZrktbCSqPfxM9jr,Brandy,FREEDOM RINGS,61
5jlLBqK31dOqXECKn3jlMX,Swae Lee,Sextasy,71
1bIEvOOqf2V3QBrFiClE3Y,Quality Control,Leave Em Alone,72
5LKzqs734Xs528hqK8bGS1,SiR,You Can't Save Me,68
5LpLw3R6TDlvmOIsgeCNjy,PJ Morton,BUILT FOR LOVE (feat. Jazmine Sullivan),62
6eKQpHfI07oX6KEJRGWDtl,The Bonfyre,U Say (feat. 6LACK),67
5LbXnDbn75IQSm5FCTANHd,11:11,All Year,65
2TuRqxy7EI8gMGDQFt3iTV,Raphael Saadiq,Something Keeps Calling (feat. Rob Bacon),64
02lGHA7bFFplYLihnUWTx8,Juanes,Tequila,10
3jbT1Y5MoPwEIpZndDDwVq,Tainy,Adicto (with Anuel AA & Ozuna),93
37zdqI4r1gswIzczSBkRon,Lunay,Aventura,88
2rc7BkzO8qepMFAxHtOrXc,J Balvin,Blanco,78
7JabxjX6a5GvDDw6zRFscj,Nicky Jam,Whine Up,67
5DxXgozhkPLgrbKFY91w0c,Bad Bunny,Vete,71
6Y4PDQv4XjYjHLeLmvyOt0,Sech,Si Te Vas,91
1nocRtwyNPVtGcIJqfgdzZ,Camilo,Tutu,91
59s0s39NFWScuHDbHytI14,Reik,Indeciso,90
7BlBVFwvbWvcwNcUarQmjk,ROSALÍA,"Yo x Ti, Tu x Mi",92
0fea68AdmYNygeTGI4RC18,J Balvin,LA CANCIÓN,93
6ofuqm2qLMi9lBFEF9mJMb,Ozuna,Hasta Que Salga el Sol,82
2ksOAxtIxY8yElEWw8RhgK,Anuel AA,China,96
5099x34vBakWpGkHourFxP,Maluma,Qué Pena,88
6mAN61JH0dzyZpWslS11jy,Rauw Alejandro,Fantasias,92
0wMs7DPFOnToNAoecvAFQc,Rich Music LTD,Uniforme,84
2TH65lNHgvLxCKXM3apjxI,Bad Bunny,Callaita,93
5q4VCiu0mpLX3ObuZ77CYc,Becky G,24/7,76
